0.536527	0.207737	1.20763	1.06004
1.90216	1.0074	1.2349	1.21049
0.135419	1.90278	0.994072	0.911738
1.98002	0.473888	0.694213	1.17136
0.104383	0.841277	1.05997	1.22937
0.449175	0.787043	1.11879	0.880523
1.10709	2.15811	0.940589	0.96844
0.647072	0.236108	0.954803	1.18647
0.0302909	0.913057	0.819868	0.782459
0.993004	0.70547	1.14328	0.972271
0.73702	1.04308	1.33059	1.05612
0.0103932	1.58003	1.07806	0.957192
0.496823	1.36893	1.41154	0.982555
1.00333	0.0650173	0.649666	0.904051
3.43295	2.60058	0.892507	1.08795
0.13466	0.82585	1.01195	0.97982
3.45884	1.46405	1.1897	1.13965
0.36867	0.213098	0.991918	0.935836
1.26468	0.492623	0.988473	1.04088
0.281683	1.09828	1.0668	0.923441
0.390375	1.06445	0.886148	0.953745
0.167319	0.688005	1.088	1.10137
1.99493	0.434588	0.580134	0.982522
0.0443208	1.04846	0.664199	0.90395
0.653513	1.37948	0.606467	0.875815
1.23661	1.85508	1.17327	0.857095
0.274946	0.491326	0.548309	1.15834
0.282101	1.81155	0.442374	0.953557
0.339733	2.50575	1.30425	1.13422
0.579411	0.245068	1.14904	1.06418
1.56678	0.160729	0.54741	0.946082
3.39976	1.49032	0.985686	1.15078
0.0131876	1.49779	0.825123	1.09686
0.0403799	0.390605	0.985575	1.11048
0.125583	0.562964	0.883927	1.01641
0.222662	0.757586	1.48488	0.785522
0.645722	0.101853	0.306959	0.939619
0.145875	1.25788	0.670462	1.22339
1.31062	1.40003	1.13062	1.08073
1.23199	0.870569	0.724287	0.941666
0.337204	0.753964	0.983844	1.0036
0.16639	1.01282	0.826718	1.02258
1.00016	0.542219	0.925045	0.950734
0.308553	2.23899	1.37494	0.818919
0.845821	0.269384	0.558012	0.933384
0.304221	0.698129	0.957253	0.891821
0.784368	1.31003	0.599171	1.00057
0.400319	0.299373	1.09369	0.919378
2.62963	0.881497	0.973984	0.997599
0.0735348	0.410269	0.83789	1.10537
