0.103844	0.248636
0.290998	0.000115662
0.823848	0.0711682
0.156619	0.526732
0.781512	0.341405
0.503225	0.218291
0.447285	0.415328
0.26313	0.773502
0.713105	0.53941
0.543354	0.411513
0.995357	0.0374799
0.798643	0.818749
0.464865	0.864227
0.541861	0.323225
0.601455	0.0898398
0.533791	0.570332
0.599612	0.0680069
0.336397	0.705145
0.556192	0.109048
0.670023	0.688272
0.441144	0.252657
0.639418	0.463964
0.386361	0.0361954
0.325108	0.29652
0.615322	0.698303
0.865164	0.602473
0.4626	0.89023
0.324019	0.488529
0.570844	0.296089
0.604051	0.283353
0.0648402	0.554683
0.504248	0.351127
0.631746	0.0711937
0.277938	0.528121
